,Campus,Term,Course Code,Course Title,Course Description,Activity Type,Section,Credits,Days,Time,Building,Room,Instructor,Credit,GenEd Requirements,Registration Code,enrollCount,enrollMaximum,myPlanLink,index,mean,median,sd,fourpointo_per,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Start,End,prefix,Matched_Name,Name,Rating,Difficulty,Link,Department,Instructor Name,amount_learned_median,grading_techniques_median,instructors_contribution_median,instructors_effectiveness_median,instuctors_interest_median,the_course_as_a_whole_median,the_course_content_median,Clean_Course_Code,UUID
10,Seattle,Summer 2025,AES    389,"Race, Gender, and Sexuality in the Media                                                                                ","Introduction to media representations of gender, race, and sexuality.",lecture,B,5,,,,,None,5,"SSc, DIV",14133,0,5,https://course-app-api.planning.sis.uw.edu/api/courses/AES%20389/details,AES389,3.4586206896551723,3.8,0.9170858047996608,34.48275862068966,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,5.0,1.0,10.0,,,AES,No Match,,,,,,,,,,,,,,AES389,AES389BSummer2025
11,Seattle,Spring 2025,AES    398,"Human Trafficking in an Era of Globalization: Forced Labor, Involuntary Servitude and Corporate, Civic Responsibility ","Examines the causes of the human trafficking industry and analyses possible strategies to prevent and minimize the trade. Highlights includes essays, speakers and films on forced migration and labor rights, international trade agreements, human rights, public health, how to improve survivor services, ethical sourcing and sustainable development, and humanizing the impacts of human trafficking.",lecture,A,5,MW,3:30 PM - 5:20 PM,MUS,223,VELMA VELORIA,5,"DIV, SSc",10173,33,45,https://course-app-api.planning.sis.uw.edu/api/courses/AES%20398/details,AES398,3.9046875,4.0,0.17268982987932435,70.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,2.0,45.0,15:30,17:20,AES,No Match,Velma Veloria,4.0,1.0,https://www.ratemyprofessors.com/professor/2781442,Ethnic Studies,,,,,,,,,AES398,AES398ASpring2025
12,Seattle,Spring 2025,AES    490,"Representing Beyond the Binaries: Mixing Race, Gender, and Sexuality in the Media","Cultural studies approach to examining the mixed formations that race, sexuality, and gender take in the contemporary United States media. Draws upon multi-disciplinary scholarship in examination of the media.",lecture,A,5,TTh,3:30 PM - 5:20 PM,CMU,104,Eli Wilson,5,"DIV, SSc",21672,4,5,https://course-app-api.planning.sis.uw.edu/api/courses/AES%20490/details,AES490,2.7375,3.6,1.593688724312248,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,15:30,17:20,AES,No Match,,,,,,,,,,,,,,AES490,AES490ASpring2025
13,Seattle,Spring 2025,AES    498,Special Topics in American Ethnic Studies                                                                               ,"Designed to provide the student an opportunity to concentrate on one specific aspect of American Ethnic Studies through a comparative, interdisciplinary approach.",lecture,B,1-5,MW,8:30 AM - 10:20 AM,MEB,251,Connie C. So,1-5,SSc,10177,0,10,https://course-app-api.planning.sis.uw.edu/api/courses/AES%20498/details,AES498,3.636036036036036,3.8,0.5516221439467376,34.234234234234236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,3.0,4.0,14.0,7.0,5.0,10.0,17.0,38.0,08:30,10:20,AES,Connie C. So,Connie So,3.4,3.4,https://www.ratemyprofessors.com/professor/436830,Ethnic Studies,Connie C. So,4.2266666667,4.0383333333,4.365,4.1933333333,4.2516666667,4.0066666667,4.2433333333,AES498,AES498BSpring2025
14,Seattle,Summer 2025,AAS    101,Introduction to Asian American Studies,"Provides an introduction to the interdisciplinary study of Asian Americans and Pacific Islanders in the United States. Examines issues of race, class, gender, and sexuality, immigration/migration, citizenship, labor, racialization, exclusion, social and political activism and social movements, family, community-building, war, imperialism, sovereignty, (post) colonialisms, transnationalism, culture, and creative expressions.",lecture,A,5,MTWThF,12:40 PM - 2:10 PM,CMU,226,Connie C. So,5,"SSc, DIV",10018,0,50,https://course-app-api.planning.sis.uw.edu/api/courses/AAS%20101/details,AAS101,3.1968000000000005,3.3,0.7527658511560329,7.466666666666668,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,4.0,8.0,8.0,6.0,13.0,11.0,7.0,23.0,24.0,30.0,31.0,29.0,25.0,27.0,26.0,25.0,23.0,28.0,12:40,14:10,AAS,Connie C. So,Connie So,3.4,3.4,https://www.ratemyprofessors.com/professor/436830,Ethnic Studies,Connie C. So,4.2266666667,4.0383333333,4.365,4.1933333333,4.2516666667,4.0066666667,4.2433333333,AAS101,AAS101ASummer2025
15,Seattle,Spring 2025,AAS    101,Introduction to Asian American Studies,"Provides an introduction to the interdisciplinary study of Asian Americans and Pacific Islanders in the United States. Examines issues of race, class, gender, and sexuality, immigration/migration, citizenship, labor, racialization, exclusion, social and political activism and social movements, family, community-building, war, imperialism, sovereignty, (post) colonialisms, transnationalism, culture, and creative expressions.",lecture,A,5,TTh,10:00 AM - 11:20 AM,ECE,105,Moon-Ho Jung,5,"SSc, DIV",10094,33,75,https://course-app-api.planning.sis.uw.edu/api/courses/AAS%20101/details,AAS101,3.1968000000000005,3.3,0.7527658511560329,7.466666666666668,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,4.0,8.0,8.0,6.0,13.0,11.0,7.0,23.0,24.0,30.0,31.0,29.0,25.0,27.0,26.0,25.0,23.0,28.0,10:00,11:20,AAS,Moon-Ho Jung,Moon-Ho Jung,4.6,3.5,https://www.ratemyprofessors.com/professor/817584,History,Moon-Ho Jung,4.785,4.54,4.875,4.855,4.735,4.75,4.76,AAS101,AAS101ASpring2025
16,Seattle,Spring 2025,AAS    210,"Asian American and Pacific Islander American Identity: Race, Ethnicity, and Culture","Examines the interdisciplinary nature of Asian American and Pacific Islander American identity. Explores influences and manifestations of Asian and Pacific Islander ethnic identity, using literature, history, and social sciences. Topics include gender issues, socio-economic class, and mixed heritage in the United States.",lecture,A,5,TTh,10:30 AM - 12:20 PM,ARC,G070,Connie C. So,5,"DIV, SSc",10101,11,45,https://course-app-api.planning.sis.uw.edu/api/courses/AAS%20210/details,AAS210,3.4603448275862068,3.6,0.5681001778985978,17.24137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,1.0,3.0,5.0,6.0,6.0,4.0,7.0,8.0,9.0,8.0,9.0,18.0,20.0,10:30,12:20,AAS,Connie C. So,Connie So,3.4,3.4,https://www.ratemyprofessors.com/professor/436830,Ethnic Studies,Connie C. So,4.2266666667,4.0383333333,4.365,4.1933333333,4.2516666667,4.0066666667,4.2433333333,AAS210,AAS210ASpring2025
17,Seattle,Spring 2025,AAS    220,Asian American Stereotypes in the Media                                                                                 ,"Asian stereotypes popularized by American literature, film, radio, and television and their effects on Asian American history, psychology, and community.",lecture,A,5,MW,10:30 AM - 12:20 PM,CDH,105,Jennifer Zheng,5,SSc,10102,45,45,https://course-app-api.planning.sis.uw.edu/api/courses/AAS%20220/details,AAS220,3.592307692307692,3.7,0.4072324450480373,15.384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,5.0,5.0,6.0,7.0,9.0,9.0,14.0,12.0,10:30,12:20,AAS,Jennifer Zheng,,,,,,Jennifer Zheng,4.875,4.95,4.91,4.935,4.91,4.935,4.91,AAS220,AAS220ASpring2025
18,Seattle,Summer 2025,AAS    402,Contemporary Asian American Literature                                                                                  ,"Examines Asian American literature from the 1950s to the present that require analyses of structures of power and possibilities for empowerment of an American ""minority"" group. Multi-ethnic focus, including Filipino American, Japanese American, Chinese American, Korean American, Vietnamese American, and South Asian American subjects.",lecture,A,5,MTWThF,10:50 AM - 1:00 PM,CMU,326,Vince Schleitwiler,5,"A&H, DIV",10019,0,45,https://course-app-api.planning.sis.uw.edu/api/courses/AAS%20402/details,AAS402,3.6692708333333335,3.9,0.7716618225077435,45.83333333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,2.0,2.0,7.0,3.0,6.0,10.0,22.0,34.0,88.0,10:50,13:00,AAS,Vince Schleitwiler,Vince Schleitwiler,4.8,2.5,https://www.ratemyprofessors.com/professor/2689761,Literature,Vince Schleitwiler,4.035,4.0216666667,4.3616666667,4.3633333333,4.3166666667,4.2716666667,4.0166666667,AAS402,AAS402ASummer2025
19,UW PROFESSIONAL AND CONTINUING EDUCATION,Summer 2025,AAS    499,Undergraduate Independent Study                                                                                         ,,lecture,B,3,MTWThF,9:00 AM - 4:50 PM,THO,325,None,1-5,,10021,0,40,https://course-app-api.planning.sis.uw.edu/api/courses/AAS%20499/details,AAS499,3.904,4.0,0.30394736386420595,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,21.0,09:00,16:50,AAS,No Match,,,,,,,,,,,,,,AAS499,AAS499BSummer2025
20,Seattle,Spring 2025,CHSTU  256,Chicanas: Gender and Race Issues,"Contemporary issues in the Chicana movement since the 1940s. Issues range from feminism and Chicana political, educational, and social organizations, to work, family, health, and the arts.",lecture,A,5,MW,11:30 AM - 1:20 PM,MUS,223,Elizabeth Ramirez Arreola,5,SSc,12378,34,45,https://course-app-api.planning.sis.uw.edu/api/courses/CHSTU%20256/details,CHSTU256,3.3743902439024387,3.8499999999999996,0.9876445217628825,48.170731707317074,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,17.0,2.0,0.0,6.0,3.0,5.0,5.0,2.0,14.0,3.0,79.0,11:30,13:20,CHSTU,Elizabeth Ramirez Arreola,Elizabeth Ramirez Arreola,5.0,1.5,https://www.ratemyprofessors.com/professor/3001653,"Gender, Women, & Sexuality Studies",Elizabeth Ramirez Arreola,4.69,4.69,4.19,4.19,4.44,4.44,4.525,CHSTU256,CHSTU256ASpring2025
21,Seattle,Spring 2025,CHSTU  320,Food Sovereignty Movements in Mexico and the United States,"Interdisciplinary study of agrifood systems and food sovereignty movements in Mexico and Mexican-origin communities in the United States. Uses the methods and materials of ethnography, agroecology, and political ecology in concert with environmental history, rural sociology, deconstructive discourse analysis, eco-criticism, and predictive ecology.",lecture,A,5,,,,,Devon G Pena,5,SSc,12379,45,45,https://course-app-api.planning.sis.uw.edu/api/courses/CHSTU%20320/details,CHSTU320,3.753968253968254,4.0,0.42718175635254313,52.38095238095239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,4.0,3.0,0.0,5.0,8.0,33.0,,,CHSTU,Devon G Pena,Devon Pena,2.8,2.6,https://www.ratemyprofessors.com/professor/713778,Anthropology,Devon G Pena,4.6,4.39,4.68,4.765,4.83,4.5,4.735,CHSTU320,CHSTU320ASpring2025
22,Seattle,Spring 2025,CHSTU  498,Special Topics in Chicano Studies,Interdisciplinary course concentrating on one or more aspects of the Chicano experience.,lecture,A,5,TTh,12:30 PM - 2:20 PM,SAV,264,Ileana M. Rodriguez-Silva,3-5,SSc,21425,4,10,https://course-app-api.planning.sis.uw.edu/api/courses/CHSTU%20498/details,CHSTU498,3.429032258064516,3.9,0.9867488317824012,41.935483870967744,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,3.0,13.0,12:30,14:20,CHSTU,Ileana M. Rodriguez-Silva,Ileana Rodriguez-Silva,4.2,3.1,https://www.ratemyprofessors.com/professor/1385094,History,Ileana M. Rodriguez-Silva,4.76,4.15,4.885,4.76,4.72,4.69,4.635,CHSTU498,CHSTU498ASpring2025
23,Seattle,Spring 2025,SWA    103,Basic Swahili,"Introduces the Swahili language and the diverse cultures and customs of the people of East Africa. Provides a basic foundation in speaking, reading, and writing. Third in a sequence of three.",lecture,A,5,MTWThF,11:30 AM - 12:20 PM,SAV,157,Jacqueline Waita,5,,20260,9,20,https://course-app-api.planning.sis.uw.edu/api/courses/SWA%20103/details,SWA103,3.415,3.8,0.7558273612406473,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,1.0,3.0,4.0,2.0,0.0,5.0,4.0,5.0,3.0,9.0,39.0,11:30,12:20,SWA,Jacqueline Waita,Jacqueline Waita,5.0,2.3,https://www.ratemyprofessors.com/professor/2677159,Languages,Jacqueline Waita,4.4066666667,4.5733333333,4.5733333333,4.5733333333,4.6844444444,4.5177777778,4.4622222222,SWA103,SWA103ASpring2025
24,Seattle,Spring 2025,SWA    103,Basic Swahili,"Introduces the Swahili language and the diverse cultures and customs of the people of East Africa. Provides a basic foundation in speaking, reading, and writing. Third in a sequence of three.",lecture,B,5,MTWThF,12:30 PM - 1:20 PM,SAV,157,Jacqueline Waita,5,,20261,7,20,https://course-app-api.planning.sis.uw.edu/api/courses/SWA%20103/details,SWA103,3.415,3.8,0.7558273612406473,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,1.0,3.0,4.0,2.0,0.0,5.0,4.0,5.0,3.0,9.0,39.0,12:30,13:20,SWA,Jacqueline Waita,Jacqueline Waita,5.0,2.3,https://www.ratemyprofessors.com/professor/2677159,Languages,Jacqueline Waita,4.4066666667,4.5733333333,4.5733333333,4.5733333333,4.6844444444,4.5177777778,4.4622222222,SWA103,SWA103BSpring2025
25,Seattle,Summer 2025,SWA    134,Intensive Basic Swahili,"Introduces the Swahili language and the diverse cultures and customs of the people of East Africa. Provides a basic foundation in speaking, reading, and writing.",lecture,A,15,MTWTh,9:40 AM - 1:00 PM,SAV,138,Jacqueline Waita,15,,13576,0,25,https://course-app-api.planning.sis.uw.edu/api/courses/SWA%20134/details,SWA134,3.9625,4.0,0.1602407043585784,91.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,09:40,13:00,SWA,Jacqueline Waita,Jacqueline Waita,5.0,2.3,https://www.ratemyprofessors.com/professor/2677159,Languages,Jacqueline Waita,4.4066666667,4.5733333333,4.5733333333,4.5733333333,4.6844444444,4.5177777778,4.4622222222,SWA134,SWA134ASummer2025
